Item,Data Item,Data Type,Format,"Max
Length",File,Min_Date,Max_Date,Data Element,Type,Max Length,Description
L4,Loan Type,String,,3.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L5,Loan Term,Numeric,,3.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L6,First Payment Date,Date,CCYYMMDD,8.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L7,Maturity Date of Loan,Date,CCYYMMDD,8.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L8,Loan Interest Rate,Numeric,2.3,6.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L9,Modified Loan Indicator,String,,1.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L10,Non-level Payments Indicator,String,,1.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L11,Mature Loan Certification Flag,Numeric,,1.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L12,Loan Origination Date,Date,CCYYMMDD,8.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L13,Initial Endorsement Date,Date,CCYYMMDD,8.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L14,Final Endorsement Date,Date,CCYYMMDD,8.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L15,Lockout Term,Numeric,,2.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L16,Lockout Period End Date,Date,CCYYMMDD,8.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L17,Prepayment Premium Period,Numeric,,2.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L18,Prepayment End Date,Date,CCYYMMDD,8.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L19,Interest Approval Date,Date,CCYYMMDD,8.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L20,Pre-Payment Penalty Flag,String,,1.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L21,Original Principal Balance,Numeric,9.2,12.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L22,UPB at Issuance,Numeric,9.2,12.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L23,Unpaid Principal Balance,Numeric,9.2,12.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L24,Draw Number,String,,2.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L25,Approved Draw Amount,Numeric,10.2,13.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L26,Months Delinquent,Numeric,,1.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L27,Current Month Liquidation Flag,String,,1.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L28,Removal Reason,Numeric,,1.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L29,Seller Issuer ID,Numeric,,4.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L30,Property Name,String,,60.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L31,Property Street,String,,55.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L32,Property City,String,,30.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L33,Property State,String,,2.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L34,Property Zip,Numeric,,9.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L35,MSA,Numeric,,5.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L36,Number of Units,Numeric,,4.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L37,Current Principal and Interest Amount,Numeric,9.2,12.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L38,Prepayment Description,String,,245.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L39,Description of Non-Level Adjustment Period,String,,230.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L40,FHA Program Section Code,String,,20.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L41,Insurance Type,String,,1.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L42,As of Date,Date,CCYYMM,6.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L43,Green Status,String,,3.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
L44,Affordable Status,String,,3.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
,,,,,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,,,,
,Pool Data Portion of Record,,,,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
P1,CUSIP Number,String,,9.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
P2,Pool Number,String,,6.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
P3,Pool Indicator (X),String,,1.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
P4,Pool Type,String,,2.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
P5,Security Interest Rate,Numeric,2.3,6.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
